order_id,date,customer_id,product_id,quantity,revenue
O0086,2025-03-21,C030,P027,33,14965.28
O0087,2025-03-24,C001,P028,16,14062.48
O0088,2025-03-03,C002,P029,14,12249.90
O0089,2025-03-06,C003,P030,6,16695.05
O0090,2025-03-09,C004,P001,8,12158.61
O0091,2025-03-06,C055,P023,24,17923.92
O0092,2025-03-09,C056,P024,10,20112.12
O0093,2025-03-12,C057,P025,5,12421.61
O0094,2025-03-15,C058,P026,18,18433.09
O0095,2025-03-18,C059,P027,13,12227.01
O0096,2025-03-21,C060,P028,6,18977.02
O0097,2025-03-24,C031,P029,19,14065.18
O0098,2025-03-03,C032,P030,12,10918.95
O0099,2025-03-06,C033,P001,32,11360.55
O0100,2025-03-09,C034,P002,21,14547.94
O0101,2025-03-06,C085,P024,35,6423.03
O0102,2025-03-09,C086,P025,23,11712.51
O0103,2025-03-12,C087,P026,18,8222.64
O0104,2025-03-15,C088,P027,21,6921.16
O0105,2025-03-18,C089,P028,6,10276.90
O0106,2025-03-21,C090,P029,22,10152.84
O0107,2025-03-24,C061,P030,11,8327.50
O0108,2025-03-03,C062,P001,15,9792.44
O0109,2025-03-06,C063,P002,33,7965.98
O0110,2025-03-09,C064,P003,17,10211.41
O0111,2025-03-06,C115,P025,26,15267.68
O0112,2025-03-09,C116,P026,24,12500.06
O0113,2025-03-12,C117,P027,14,10396.40
O0114,2025-03-15,C118,P028,25,10659.81
O0115,2025-03-18,C119,P029,21,11785.01
O0116,2025-03-21,C120,P030,10,13169.08
O0117,2025-03-24,C091,P001,24,10756.27
O0118,2025-03-03,C092,P002,26,10571.63
O0119,2025-03-06,C093,P003,6,10082.77
O0120,2025-03-09,C094,P004,7,11652.54
O0121,2025-04-07,C028,P024,27,15185.56
O0122,2025-04-10,C029,P025,25,15112.06
O0123,2025-04-13,C030,P026,33,10221.20
O0124,2025-04-16,C001,P027,35,15181.84
O0125,2025-04-19,C002,P028,34,16464.87
O0126,2025-04-22,C003,P029,26,13794.80
O0127,2025-04-25,C004,P030,29,16827.58
O0128,2025-04-04,C005,P001,21,12916.09
O0129,2025-04-07,C006,P002,10,15583.72
O0130,2025-04-10,C007,P003,12,16393.55
O0131,2025-04-07,C058,P025,20,16935.60
O0132,2025-04-10,C059,P026,14,13105.51
O0133,2025-04-13,C060,P027,7,12166.97
O0134,2025-04-16,C031,P028,27,12904.94
O0135,2025-04-19,C032,P029,19,14875.58
O0136,2025-04-22,C033,P030,33,18332.36
O0137,2025-04-25,C034,P001,33,18291.34
O0138,2025-04-04,C035,P002,16,13731.58
O0139,2025-04-07,C036,P003,31,14907.29
O0140,2025-04-10,C037,P004,24,19582.34
O0141,2025-04-07,C088,P026,20,6506.46
O0142,2025-04-10,C089,P027,17,10485.46
O0143,2025-04-13,C090,P028,24,9397.59
O0144,2025-04-16,C061,P029,26,6495.45
O0145,2025-04-19,C062,P030,19,7380.52
O0146,2025-04-22,C063,P001,19,8211.15
O0147,2025-04-25,C064,P002,29,11784.92
O0148,2025-04-04,C065,P003,20,6451.27
O0149,2025-04-07,C066,P004,16,7623.75
O0150,2025-04-10,C067,P005,6,10657.48
O0151,2025-04-07,C118,P027,5,13040.47
O0152,2025-04-10,C119,P028,8,12607.81
O0153,2025-04-13,C120,P029,29,11136.54
O0154,2025-04-16,C091,P030,27,9218.12
O0155,2025-04-19,C092,P001,8,12718.79
O0156,2025-04-22,C093,P002,34,15580.92
O0157,2025-04-25,C094,P003,7,12819.95
O0158,2025-04-04,C095,P004,27,14180.42
O0159,2025-04-07,C096,P005,8,14359.51
O0160,2025-04-10,C097,P006,22,11585.17
O0161,2025-05-08,C001,P026,15,9539.73
O0162,2025-05-11,C002,P027,18,17613.11
O0163,2025-05-14,C003,P028,27,10734.72
O0164,2025-05-17,C004,P029,25,11731.75
O0165,2025-05-20,C005,P030,20,13390.40
O0166,2025-05-23,C006,P001,15,16684.34
O0167,2025-05-26,C007,P002,33,13270.58
O0168,2025-05-05,C008,P003,26,12659.09
O0169,2025-05-08,C009,P004,10,13583.49
O0170,2025-05-11,C010,P005,13,16927.92
O0171,2025-05-08,C031,P027,5,16044.05
O0172,2025-05-11,C032,P028,18,15767.00
O0173,2025-05-14,C033,P029,25,17972.27
O0174,2025-05-17,C034,P030,14,13129.92
O0175,2025-05-20,C035,P001,23,14586.08
O0176,2025-05-23,C036,P002,28,16377.53
O0177,2025-05-26,C037,P003,14,13424.33
O0178,2025-05-05,C038,P004,8,18278.85
O0179,2025-05-08,C039,P005,11,13078.44
O0180,2025-05-11,C040,P006,29,16123.17
O0181,2025-05-08,C061,P028,11,8129.09
O0182,2025-05-11,C062,P029,27,9506.51
O0183,2025-05-14,C063,P030,22,8105.29
O0184,2025-05-17,C064,P001,29,9256.05
O0185,2025-05-20,C065,P002,20,9185.61
O0186,2025-05-23,C066,P003,13,11862.71
O0187,2025-05-26,C067,P004,17,9261.07
O0188,2025-05-05,C068,P005,9,7277.64
O0189,2025-05-08,C069,P006,12,7099.62
O0190,2025-05-11,C070,P007,30,9994.53
O0191,2025-05-08,C091,P029,34,11828.79
O0192,2025-05-11,C092,P030,14,12789.40
O0193,2025-05-14,C093,P001,8,15680.65
O0194,2025-05-17,C094,P002,26,9070.49
O0195,2025-05-20,C095,P003,10,8471.49
O0196,2025-05-23,C096,P004,14,8700.10
O0197,2025-05-26,C097,P005,32,11915.08
O0198,2025-05-05,C098,P006,30,14487.85
O0199,2025-05-08,C099,P007,11,11694.64
O0200,2025-05-11,C100,P008,34,10477.70
O0201,2025-06-09,C004,P028,30,12189.31
O0202,2025-06-12,C005,P029,14,13322.21
O0203,2025-06-15,C006,P030,17,17658.80
O0204,2025-06-18,C007,P001,7,14690.59
O0205,2025-06-21,C008,P002,24,11696.29
O0206,2025-06-24,C009,P003,31,16951.20
O0207,2025-06-03,C010,P004,29,15330.03
O0208,2025-06-06,C011,P005,29,11048.83
O0209,2025-06-09,C012,P006,13,11103.08
O0210,2025-06-12,C013,P007,20,17885.99
O0211,2025-06-09,C034,P029,15,17761.37
O0212,2025-06-12,C035,P030,27,16016.38
O0213,2025-06-15,C036,P001,29,16562.14
O0214,2025-06-18,C037,P002,15,12224.51
O0215,2025-06-21,C038,P003,31,20938.21
O0216,2025-06-24,C039,P004,18,11607.93
O0217,2025-06-03,C040,P005,20,17314.55
O0218,2025-06-06,C041,P006,22,12375.29
O0219,2025-06-09,C042,P007,20,12279.51
O0220,2025-06-12,C043,P008,12,18157.49
O0221,2025-06-09,C064,P030,18,7033.08
O0222,2025-06-12,C065,P001,19,12033.66
O0223,2025-06-15,C066,P002,34,10683.99
O0224,2025-06-18,C067,P003,31,9312.96
O0225,2025-06-21,C068,P004,9,8733.67
O0226,2025-06-24,C069,P005,33,7286.66
O0227,2025-06-03,C070,P006,32,8917.31
O0228,2025-06-06,C071,P007,31,6502.22
O0229,2025-06-09,C072,P008,23,12337.27
O0230,2025-06-12,C073,P009,22,9323.75
O0231,2025-06-09,C094,P001,17,12061.64
O0232,2025-06-12,C095,P002,27,10390.65
O0233,2025-06-15,C096,P003,18,8884.66
O0234,2025-06-18,C097,P004,30,11489.72
O0235,2025-06-21,C098,P005,25,16116.62
O0236,2025-06-24,C099,P006,21,15997.28
O0237,2025-06-03,C100,P007,32,11945.59
O0238,2025-06-06,C101,P008,28,9660.26
O0239,2025-06-09,C102,P009,7,12170.81
O0240,2025-06-12,C103,P010,27,11615.14
O0241,2025-07-10,C007,P030,26,17132.87
O0242,2025-07-13,C008,P001,27,17377.59
O0243,2025-07-16,C009,P002,24,10243.94
O0244,2025-07-19,C010,P003,12,16152.34
O0245,2025-07-22,C011,P004,25,15778.89
O0246,2025-07-25,C012,P005,14,17516.82
O0247,2025-07-04,C013,P006,14,12770.22
O0248,2025-07-07,C014,P007,18,14577.23
O0249,2025-07-10,C015,P008,7,14956.67
O0250,2025-07-13,C016,P009,20,17598.74
O0251,2025-07-10,C037,P001,13,15835.00
O0252,2025-07-13,C038,P002,19,20297.14
O0253,2025-07-16,C039,P003,19,20741.96
O0254,2025-07-19,C040,P004,35,15478.73
O0255,2025-07-22,C041,P005,11,21288.95
O0256,2025-07-25,C042,P006,17,16970.16
O0257,2025-07-04,C043,P007,14,11413.35
O0258,2025-07-07,C044,P008,5,16909.60
O0259,2025-07-10,C045,P009,6,20392.19
O0260,2025-07-13,C046,P010,33,14083.27
O0261,2025-07-10,C067,P002,16,7857.76
O0262,2025-07-13,C068,P003,29,10830.55
O0263,2025-07-16,C069,P004,25,7136.12
O0264,2025-07-19,C070,P005,30,9171.55
O0265,2025-07-22,C071,P006,7,11948.18
O0266,2025-07-25,C072,P007,11,7343.40
O0267,2025-07-04,C073,P008,21,9532.67
O0268,2025-07-07,C074,P009,34,11445.11
O0269,2025-07-10,C075,P010,28,11715.83
O0270,2025-07-13,C076,P011,7,7394.32
O0271,2025-07-10,C097,P003,28,13907.78
O0272,2025-07-13,C098,P004,22,11499.18
O0273,2025-07-16,C099,P005,22,9609.11
O0274,2025-07-19,C100,P006,13,13206.61
O0275,2025-07-22,C101,P007,8,13911.14
O0276,2025-07-25,C102,P008,35,13025.92
O0277,2025-07-04,C103,P009,7,13603.40
O0278,2025-07-07,C104,P010,25,11831.01
O0279,2025-07-10,C105,P011,14,16416.98
O0280,2025-07-13,C106,P012,22,9703.35
O0281,2025-08-11,C010,P002,28,15890.28
O0282,2025-08-14,C011,P003,28,11116.96
O0283,2025-08-17,C012,P004,20,15178.36
O0284,2025-08-20,C013,P005,27,13019.44
O0285,2025-08-23,C014,P006,32,12950.36
O0286,2025-08-26,C015,P007,33,18368.35
O0287,2025-08-05,C016,P008,11,18283.48
O0288,2025-08-08,C017,P009,7,15593.34
O0289,2025-08-11,C018,P010,5,10201.47
O0290,2025-08-14,C019,P011,30,14728.52
O0291,2025-08-11,C040,P003,11,17307.86
O0292,2025-08-14,C041,P004,29,12824.48
O0293,2025-08-17,C042,P005,32,21370.48
O0294,2025-08-20,C043,P006,30,13099.74
O0295,2025-08-23,C044,P007,5,14977.01
O0296,2025-08-26,C045,P008,5,13097.18
O0297,2025-08-05,C046,P009,21,12478.08
O0298,2025-08-08,C047,P010,16,16560.56
O0299,2025-08-11,C048,P011,35,17601.32
O0300,2025-08-14,C049,P012,26,16644.47
O0301,2025-08-11,C070,P004,6,12614.72
O0302,2025-08-14,C071,P005,8,9570.35
O0303,2025-08-17,C072,P006,7,8563.24
O0304,2025-08-20,C073,P007,24,10425.64
O0305,2025-08-23,C074,P008,24,9811.64
O0306,2025-08-26,C075,P009,8,11384.01
O0307,2025-08-05,C076,P010,33,11239.47
O0308,2025-08-08,C077,P011,19,11952.95
O0309,2025-08-11,C078,P012,17,9125.48
O0310,2025-08-14,C079,P013,26,8160.64
O0311,2025-08-11,C100,P005,20,9271.16
O0312,2025-08-14,C101,P006,8,14617.31
O0313,2025-08-17,C102,P007,6,13369.48
O0314,2025-08-20,C103,P008,8,11983.28
O0315,2025-08-23,C104,P009,18,15591.94
O0316,2025-08-26,C105,P010,24,11207.07
O0317,2025-08-05,C106,P011,9,13924.02
O0318,2025-08-08,C107,P012,32,13131.16
O0319,2025-08-11,C108,P013,12,15111.58
O0320,2025-08-14,C109,P014,31,13647.72
O0321,2025-09-12,C013,P004,24,18137.50
O0322,2025-09-15,C014,P005,10,12297.47
O0323,2025-09-18,C015,P006,16,9918.37
O0324,2025-09-21,C016,P007,17,10483.66
O0325,2025-09-24,C017,P008,7,16508.13
O0326,2025-09-03,C018,P009,15,11265.73
O0327,2025-09-06,C019,P010,35,14918.42
O0328,2025-09-09,C020,P011,10,16582.25
O0329,2025-09-12,C021,P012,19,15758.56
O0330,2025-09-15,C022,P013,13,11783.64
O0331,2025-09-12,C043,P005,8,14368.12
O0332,2025-09-15,C044,P006,26,14628.15
O0333,2025-09-18,C045,P007,6,11521.65
O0334,2025-09-21,C046,P008,9,19335.87
O0335,2025-09-24,C047,P009,20,19158.75
O0336,2025-09-03,C048,P010,27,13819.24
O0337,2025-09-06,C049,P011,16,12186.77
O0338,2025-09-09,C050,P012,5,16191.41
O0339,2025-09-12,C051,P013,18,17365.34
O0340,2025-09-15,C052,P014,8,15626.14
O0341,2025-09-12,C073,P006,35,10450.52
O0342,2025-09-15,C074,P007,7,9351.98
O0343,2025-09-18,C075,P008,17,9880.32
O0344,2025-09-21,C076,P009,15,8049.23
O0345,2025-09-24,C077,P010,25,7398.00
O0346,2025-09-03,C078,P011,16,8833.57
O0347,2025-09-06,C079,P012,9,8138.22
O0348,2025-09-09,C080,P013,24,7633.21
O0349,2025-09-12,C081,P014,35,11387.42
O0350,2025-09-15,C082,P015,29,10216.43
O0351,2025-09-12,C103,P007,25,13907.11
O0352,2025-09-15,C104,P008,25,11360.58
O0353,2025-09-18,C105,P009,25,11254.31
O0354,2025-09-21,C106,P010,21,9430.10
O0355,2025-09-24,C107,P011,16,15474.15
O0356,2025-09-03,C108,P012,32,9558.61
O0357,2025-09-06,C109,P013,23,13260.97
O0358,2025-09-09,C110,P014,19,16091.34
O0359,2025-09-12,C111,P015,24,12633.13
O0360,2025-09-15,C112,P016,8,15308.75
O0361,2025-10-13,C016,P006,7,14514.20
O0362,2025-10-16,C017,P007,19,18893.35
O0363,2025-10-19,C018,P008,16,13328.60
O0364,2025-10-22,C019,P009,15,16083.78
O0365,2025-10-25,C020,P010,15,10565.37
O0366,2025-10-04,C021,P011,14,12240.59
O0367,2025-10-07,C022,P012,24,17833.70
O0368,2025-10-10,C023,P013,9,18225.01
O0369,2025-10-13,C024,P014,26,13500.60
O0370,2025-10-16,C025,P015,14,15003.70
O0371,2025-10-13,C046,P007,9,18565.48
O0372,2025-10-16,C047,P008,26,21096.12
O0373,2025-10-19,C048,P009,21,15346.05
O0374,2025-10-22,C049,P010,11,15136.20
O0375,2025-10-25,C050,P011,9,13185.60
O0376,2025-10-04,C051,P012,21,19617.69
O0377,2025-10-07,C052,P013,6,18479.98
O0378,2025-10-10,C053,P014,24,15501.57
O0379,2025-10-13,C054,P015,29,18091.62
O0380,2025-10-16,C055,P016,6,15858.08
O0381,2025-10-13,C076,P008,19,10518.84
O0382,2025-10-16,C077,P009,12,10050.02
O0383,2025-10-19,C078,P010,20,12314.82
O0384,2025-10-22,C079,P011,23,12807.41
O0385,2025-10-25,C080,P012,17,9859.60
O0386,2025-10-04,C081,P013,11,11686.03
O0387,2025-10-07,C082,P014,25,9722.99
O0388,2025-10-10,C083,P015,27,11959.26
O0389,2025-10-13,C084,P016,29,7762.34
O0390,2025-10-16,C085,P017,31,9459.04
O0391,2025-10-13,C106,P009,19,16070.55
O0392,2025-10-16,C107,P010,17,12984.22
O0393,2025-10-19,C108,P011,16,10746.10
O0394,2025-10-22,C109,P012,27,14177.65
O0395,2025-10-25,C110,P013,14,16334.85
O0396,2025-10-04,C111,P014,29,14625.94
O0397,2025-10-07,C112,P015,7,9088.20
O0398,2025-10-10,C113,P016,35,14800.96
O0399,2025-10-13,C114,P017,14,10851.78
O0400,2025-10-16,C115,P018,25,15338.69
O0401,2025-11-14,C019,P008,33,14628.45
O0402,2025-11-17,C020,P009,23,12281.64
O0403,2025-11-20,C021,P010,24,13290.63
O0404,2025-11-23,C022,P011,26,10859.09
O0405,2025-11-26,C023,P012,21,15031.15
O0406,2025-11-05,C024,P013,5,13633.13
O0407,2025-11-08,C025,P014,16,12388.22
O0408,2025-11-11,C026,P015,16,12274.25
O0409,2025-11-14,C027,P016,23,16770.20
O0410,2025-11-17,C028,P017,22,13160.78
O0411,2025-11-14,C049,P009,26,16597.36
O0412,2025-11-17,C050,P010,30,13116.30
O0413,2025-11-20,C051,P011,6,14790.38
O0414,2025-11-23,C052,P012,6,15024.23
O0415,2025-11-26,C053,P013,31,17425.03
O0416,2025-11-05,C054,P014,11,14712.99
O0417,2025-11-08,C055,P015,25,15196.60
O0418,2025-11-11,C056,P016,33,15915.43
O0419,2025-11-14,C057,P017,15,21971.43
O0420,2025-11-17,C058,P018,34,20109.00
O0421,2025-11-14,C079,P010,18,7342.80
O0422,2025-11-17,C080,P011,22,8672.23
O0423,2025-11-20,C081,P012,14,8751.00
O0424,2025-11-23,C082,P013,27,9601.31
O0425,2025-11-26,C083,P014,34,9036.04
O0426,2025-11-05,C084,P015,30,12720.03
O0427,2025-11-08,C085,P016,16,10029.38
O0428,2025-11-11,C086,P017,5,7737.92
O0429,2025-11-14,C087,P018,6,7635.51
O0430,2025-11-17,C088,P019,16,9223.50
O0431,2025-11-14,C109,P011,26,12700.17
O0432,2025-11-17,C110,P012,7,13711.21
O0433,2025-11-20,C111,P013,25,11304.00
O0434,2025-11-23,C112,P014,10,13100.68
O0435,2025-11-26,C113,P015,13,15350.43
O0436,2025-11-05,C114,P016,24,11360.16
O0437,2025-11-08,C115,P017,8,10138.36
O0438,2025-11-11,C116,P018,27,12660.94
O0439,2025-11-14,C117,P019,32,17075.82
O0440,2025-11-17,C118,P020,22,13452.33
O0441,2025-12-15,C022,P010,27,16714.21
O0442,2025-12-18,C023,P011,16,14867.28
O0443,2025-12-21,C024,P012,9,12365.38
O0444,2025-12-24,C025,P013,23,13581.06
O0445,2025-12-03,C026,P014,24,18320.86
O0446,2025-12-06,C027,P015,27,16799.80
O0447,2025-12-09,C028,P016,31,15475.65
O0448,2025-12-12,C029,P017,7,14326.64
O0449,2025-12-15,C030,P018,33,17813.22
O0450,2025-12-18,C001,P019,29,19075.22
O0451,2025-12-15,C052,P011,6,20688.27
O0452,2025-12-18,C053,P012,10,15260.58
O0453,2025-12-21,C054,P013,35,17354.25
O0454,2025-12-24,C055,P014,11,18593.57
O0455,2025-12-03,C056,P015,14,18373.48
O0456,2025-12-06,C057,P016,23,21864.18
O0457,2025-12-09,C058,P017,28,21441.62
O0458,2025-12-12,C059,P018,6,20622.61
O0459,2025-12-15,C060,P019,25,20044.19
O0460,2025-12-18,C031,P020,23,16262.69
O0461,2025-12-15,C082,P012,25,10340.05
O0462,2025-12-18,C083,P013,12,11960.60
O0463,2025-12-21,C084,P014,7,11234.64
O0464,2025-12-24,C085,P015,19,8203.86
O0465,2025-12-03,C086,P016,27,8924.94
O0466,2025-12-06,C087,P017,17,7745.69
O0467,2025-12-09,C088,P018,15,8439.74
O0468,2025-12-12,C089,P019,9,7533.33
O0469,2025-12-15,C090,P020,24,9542.98
O0470,2025-12-18,C061,P021,31,8975.72
O0471,2025-12-15,C112,P013,29,10441.58
O0472,2025-12-18,C113,P014,33,11671.12
O0473,2025-12-21,C114,P015,21,12896.47
O0474,2025-12-24,C115,P016,6,9544.95
O0475,2025-12-03,C116,P017,25,14670.66
O0476,2025-12-06,C117,P018,8,12679.71
O0477,2025-12-09,C118,P019,29,12451.65
O0478,2025-12-12,C119,P020,22,10732.59
O0479,2025-12-15,C120,P021,21,12839.80
O0480,2025-12-18,C091,P022,24,14735.59
O0481,2026-01-04,C020,P019,17,12032.24
O0482,2026-01-07,C021,P020,16,15134.09
O0483,2026-01-10,C022,P021,21,9327.07
O0484,2026-01-13,C023,P022,30,12849.17
O0485,2026-01-16,C024,P023,21,10135.72
O0486,2026-01-19,C025,P024,17,17048.75
O0487,2026-01-22,C026,P025,15,13121.93
O0488,2026-01-25,C027,P026,23,11435.80
O0489,2026-01-04,C028,P027,26,9890.54
O0490,2026-01-07,C029,P028,33,14893.26
O0491,2026-01-04,C050,P020,20,12942.62
O0492,2026-01-07,C051,P021,23,15884.20
O0493,2026-01-10,C052,P022,10,15380.89
O0494,2026-01-13,C053,P023,17,11832.79
O0495,2026-01-16,C054,P024,35,17042.41
O0496,2026-01-19,C055,P025,18,11867.24
O0497,2026-01-22,C056,P026,29,16203.18
O0498,2026-01-25,C057,P027,28,11027.00
O0499,2026-01-04,C058,P028,15,19847.31
O0500,2026-01-07,C059,P029,35,12072.24
O0501,2026-01-04,C080,P021,16,9854.17
O0502,2026-01-07,C081,P022,30,9950.56
O0503,2026-01-10,C082,P023,12,7661.51
O0504,2026-01-13,C083,P024,14,10380.74
O0505,2026-01-16,C084,P025,20,7871.65
O0506,2026-01-19,C085,P026,30,10107.20
O0507,2026-01-22,C086,P027,22,8217.81
O0508,2026-01-25,C087,P028,35,10391.18
O0509,2026-01-04,C088,P029,35,10065.63
O0510,2026-01-07,C089,P030,13,10249.05
O0511,2026-01-04,C110,P022,13,14856.41
O0512,2026-01-07,C111,P023,24,13457.69
O0513,2026-01-10,C112,P024,33,11929.98
O0514,2026-01-13,C113,P025,18,10468.54
O0515,2026-01-16,C114,P026,9,8101.72
O0516,2026-01-19,C115,P027,18,12817.06
O0517,2026-01-22,C116,P028,25,9516.04
O0518,2026-01-25,C117,P029,25,8494.70
O0519,2026-01-04,C118,P030,12,11959.91
O0520,2026-01-07,C119,P001,34,14772.31
O0521,2026-02-05,C023,P021,34,16669.70
O0522,2026-02-08,C024,P022,20,10639.95
O0523,2026-02-11,C025,P023,14,16317.02
O0524,2026-02-14,C026,P024,8,16742.22
O0525,2026-02-17,C027,P025,25,13575.29
O0526,2026-02-20,C028,P026,32,13253.89
O0527,2026-02-23,C029,P027,15,10444.11
O0528,2026-02-26,C030,P028,10,9223.81
O0529,2026-02-05,C001,P029,26,15334.76
O0530,2026-02-08,C002,P030,33,12442.14
O0531,2026-02-05,C053,P022,17,16948.71
O0532,2026-02-08,C054,P023,15,19491.28
O0533,2026-02-11,C055,P024,19,17754.69
O0534,2026-02-14,C056,P025,28,16029.44
O0535,2026-02-17,C057,P026,12,11157.83
O0536,2026-02-20,C058,P027,17,17109.12
O0537,2026-02-23,C059,P028,29,13531.42
O0538,2026-02-26,C060,P029,14,14070.95
O0539,2026-02-05,C031,P030,20,12026.38
O0540,2026-02-08,C032,P001,18,17260.46
O0541,2026-02-05,C083,P023,30,9906.59
O0542,2026-02-08,C084,P024,29,9524.82
O0543,2026-02-11,C085,P025,21,10128.41
O0544,2026-02-14,C086,P026,6,10827.36
O0545,2026-02-17,C087,P027,22,7031.31
O0546,2026-02-20,C088,P028,8,9997.17
O0547,2026-02-23,C089,P029,33,9047.10
O0548,2026-02-26,C090,P030,21,8516.20
O0549,2026-02-05,C061,P001,26,10705.15
O0550,2026-02-08,C062,P002,31,6210.30
O0551,2026-02-05,C113,P024,18,10699.04
O0552,2026-02-08,C114,P025,34,14748.80
O0553,2026-02-11,C115,P026,14,11173.04
O0554,2026-02-14,C116,P027,28,12919.20
O0555,2026-02-17,C117,P028,17,11465.30
O0556,2026-02-20,C118,P029,7,13190.69
O0557,2026-02-23,C119,P030,25,14498.81
O0558,2026-02-26,C120,P001,17,12056.94
O0559,2026-02-05,C091,P002,5,13731.81
O0560,2026-02-08,C092,P003,28,12171.89
O0561,2026-03-06,C026,P023,12,13048.40
O0562,2026-03-09,C027,P024,33,15248.20
O0563,2026-03-12,C028,P025,18,14332.16
O0564,2026-03-15,C029,P026,12,10930.60
O0565,2026-03-18,C030,P027,24,14807.24
O0566,2026-03-21,C001,P028,6,12562.85
O0567,2026-03-24,C002,P029,32,15672.85
O0568,2026-03-03,C003,P030,12,16003.34
O0569,2026-03-06,C004,P001,24,15643.52
O0570,2026-03-09,C005,P002,33,10407.93
O0571,2026-03-06,C056,P024,14,13346.13
O0572,2026-03-09,C057,P025,28,19488.38
O0573,2026-03-12,C058,P026,20,11143.05
O0574,2026-03-15,C059,P027,17,18274.52
O0575,2026-03-18,C060,P028,9,13584.84
O0576,2026-03-21,C031,P029,12,18887.72
O0577,2026-03-24,C032,P030,30,15159.31
O0578,2026-03-03,C033,P001,18,16069.05
O0579,2026-03-06,C034,P002,11,13877.99
O0580,2026-03-09,C035,P003,16,11582.95
O0581,2026-03-06,C086,P025,13,8400.75
