order_id,shipping_cost
O0351,776.41
O0352,562.38
O0353,482.80
O0354,401.74
O0355,863.89
O0356,460.26
O0357,747.04
O0358,724.30
O0359,543.10
O0360,883.59
O0361,667.13
O0362,977.86
O0363,646.97
O0364,837.87
O0365,558.42
O0366,702.98
O0367,915.29
O0368,956.76
O0369,769.64
O0370,709.01
O0371,999.20
O0372,1112.34
O0373,688.80
O0374,682.22
O0375,720.06
O0376,1101.32
O0377,958.90
O0378,857.26
O0379,968.61
O0380,726.31
O0381,573.71
O0382,552.13
O0383,650.87
O0384,595.65
O0385,439.67
O0386,537.56
O0387,553.71
O0388,556.84
O0389,389.78
O0390,430.88
O0391,781.65
O0392,751.95
O0393,468.37
O0394,626.67
O0395,903.28
O0396,615.52
O0397,403.45
O0398,647.97
O0399,497.17
O0400,671.43
O0401,762.31
O0402,600.18
O0403,598.04
O0404,467.84
O0405,753.39
O0406,711.25
O0407,676.60
O0408,535.88
O0409,716.24
O0410,727.61
O0411,864.85
O0412,748.91
O0413,668.40
O0414,726.75
O0415,941.87
O0416,629.20
O0417,727.74
O0418,912.01
O0419,1097.70
O0420,871.16
O0421,405.01
O0422,409.73
O0423,427.21
O0424,514.91
O0425,419.21
O0426,663.99
O0427,446.91
O0428,421.72
O0429,399.51
O0430,476.68
O0431,623.62
O0432,663.19
O0433,479.45
O0434,667.96
O0435,697.42
O0436,566.41
O0437,453.82
O0438,669.90
O0439,911.04
O0440,748.24
O0441,748.55
O0442,672.23
O0443,590.75
O0444,690.28
O0445,886.19
O0446,912.34
O0447,728.48
O0448,680.69
O0449,915.68
O0450,1079.11
O0451,969.58
O0452,725.43
O0453,750.78
O0454,818.17
O0455,960.12
O0456,1148.74
O0457,1217.52
O0458,881.15
O0459,909.46
O0460,812.62
O0461,484.26
O0462,559.27
O0463,546.56
O0464,385.59
O0465,424.17
O0466,394.92
O0467,415.18
O0468,362.70
O0469,538.58
O0470,421.89
O0471,516.53
O0472,666.70
O0473,662.02
O0474,535.64
O0475,618.09
O0476,680.14
O0477,533.16
O0478,463.40
O0479,708.82
O0480,848.79
O0481,612.75
O0482,758.91
O0483,498.23
O0484,664.30
O0485,477.36
O0486,797.67
O0487,653.96
O0488,547.70
O0489,464.09
O0490,631.87
O0491,744.89
O0492,815.44
O0493,836.62
O0494,502.95
O0495,836.04
O0496,576.34
O0497,900.48
O0498,499.72
O0499,953.25
O0500,573.16
O0501,521.21
O0502,448.53
O0503,437.19
O0504,550.63
O0505,448.21
O0506,517.24
O0507,452.75
O0508,443.42
O0509,494.00
O0510,566.23
O0511,656.60
O0512,576.15
O0513,511.08
O0514,553.78
O0515,460.71
O0516,635.87
O0517,448.57
O0518,445.43
O0519,681.56
O0520,818.41
O0521,806.01
O0522,595.38
O0523,833.59
O0524,824.88
O0525,774.02
O0526,728.18
O0527,481.64
O0528,430.94
O0529,854.12
O0530,587.85
O0531,749.98
O0532,938.26
O0533,831.47
O0534,765.45
O0535,523.40
O0536,961.62
O0537,766.66
O0538,806.52
O0539,621.67
O0540,934.09
O0541,455.30
O0542,480.13
O0543,516.82
O0544,489.77
O0545,353.85
O0546,498.07
O0547,445.61
O0548,433.82
O0549,517.44
O0550,268.09
O0551,619.54
O0552,730.85
O0553,606.17
O0554,747.84
O0555,550.79
O0556,667.83
O0557,839.27
O0558,549.35
O0559,678.46
O0560,671.57
O0561,587.38
O0562,837.91
O0563,805.82
O0564,464.96
O0565,679.89
O0566,571.31
O0567,907.39
O0568,753.80
O0569,716.32
O0570,473.94
O0571,686.88
O0572,951.72
O0573,582.70
O0574,889.26
O0575,687.49
O0576,1007.12
O0577,736.79
O0578,737.34
O0579,682.75
O0580,521.79
O0581,358.15
O0582,392.88
O0583,423.54
O0584,665.77
O0585,565.66
O0586,345.85
O0587,354.59
O0588,428.88
O0589,617.64
O0590,505.31
O0591,591.21
O0592,532.27
O0593,615.02
O0594,554.33
O0595,828.97
O0596,770.80
O0597,606.97
O0598,602.91
O0599,853.18
O0600,829.91
O0601,1896.78
O0602,1894.09
O0603,3492.85
O0604,2867.02
O0605,2010.34
O0606,2099.07
O0607,4103.30
O0608,2240.05
O0609,2236.40
O0610,3095.52
O0611,595.01
O0612,832.07
O0613,683.38
O0614,608.11
O0615,711.26
O0616,1116.60
O0617,832.77
O0618,886.99
O0619,523.80
O0620,707.80
O0621,384.45
O0622,506.35
O0623,364.49
O0624,603.84
O0625,298.17
O0626,519.35
O0627,447.66
O0628,522.00
O0629,355.97
O0630,527.75
O0631,565.90
O0632,608.93
O0633,837.98
O0634,460.03
O0635,530.73
O0636,427.37
O0637,460.10
O0638,873.45
O0639,549.27
O0640,457.03
O0641,2697.98
O0642,2528.05
O0643,2723.76
O0644,3818.80
O0645,3444.25
O0646,3108.05
O0647,3038.80
O0648,3458.23
O0649,3393.28
O0650,2562.26
O0651,1167.67
O0652,1011.84
O0653,1109.24
O0654,973.36
O0655,823.93
O0656,953.05
O0657,789.07
O0658,846.17
O0659,601.68
O0660,704.35
O0661,350.64
O0662,352.45
O0663,657.52
O0664,324.85
O0665,439.18
O0666,446.23
O0667,362.32
O0668,386.92
O0669,505.35
O0670,377.67
O0671,601.30
O0672,813.37
O0673,528.14
O0674,459.52
O0675,640.96
O0676,482.21
O0677,692.49
O0678,517.14
O0679,708.12
O0680,713.14
O0681,2202.07
O0682,3271.84
O0683,2180.20
O0684,3249.90
O0685,2887.22
O0686,2713.92
O0687,2770.76
O0688,2484.16
O0689,3293.67
O0690,2221.75
O0691,980.82
O0692,962.21
O0693,808.64
O0694,677.72
O0695,605.06
O0696,686.81
O0697,819.37
O0698,900.44
O0699,913.88
O0700,1158.40
O0701,337.44
O0702,418.12
O0703,606.32
O0704,544.72
O0705,337.95
O0706,566.00
O0707,513.61
O0708,494.34
O0709,600.77
O0710,413.18
O0711,438.19
O0712,612.32
O0713,570.64
O0714,626.09
O0715,430.43
O0716,762.97
O0717,460.25
O0718,853.15
O0719,411.03
O0720,703.39
O0721,2699.83
O0722,3759.00
O0723,2179.65
O0724,3674.26
O0725,3176.52
O0726,3660.18
O0727,1903.26
O0728,3557.18
O0729,3278.03
O0730,3288.62
O0731,844.39
O0732,1053.29
O0733,831.25
O0734,873.28
O0735,782.04
O0736,555.21
O0737,753.42
O0738,821.40
O0739,792.02
O0740,627.83
O0741,472.39
O0742,417.06
O0743,618.08
O0744,542.37
O0745,490.18
O0746,394.27
O0747,461.85
O0748,559.96
O0749,467.50
O0750,472.92
O0751,840.36
O0752,459.35
O0753,627.50
O0754,514.92
O0755,556.48
O0756,694.02
O0757,606.88
O0758,742.36
O0759,738.50
O0760,622.73
O0761,2940.21
O0762,2996.83
O0763,2967.63
O0764,2569.66
O0765,3840.03
O0766,3047.30
O0767,3847.44
O0768,2772.94
O0769,2634.91
O0770,3395.15
O0771,858.56
O0772,866.55
O0773,623.90
O0774,759.17
O0775,745.98
O0776,737.93
O0777,803.03
O0778,892.09
O0779,584.39
O0780,887.39
O0781,512.39
O0782,422.75
O0783,319.39
O0784,488.00
O0785,414.92
O0786,554.71
O0787,526.59
O0788,618.26
O0789,658.93
O0790,542.84
O0791,708.75
O0792,557.43
O0793,746.35
O0794,674.15
O0795,879.34
O0796,492.98
O0797,526.64
O0798,490.76
O0799,805.23
O0800,428.02
O0801,3288.41
O0802,3861.90
O0803,3920.88
O0804,2785.56
O0805,2505.22
O0806,2221.20
O0807,3930.15
O0808,3090.80
O0809,2851.28
O0810,3092.29
O0811,585.47
O0812,821.63
O0813,700.56
O0814,1067.61
O0815,1017.45
O0816,533.54
O0817,831.47
O0818,820.84
O0819,753.88
O0820,800.78
O0821,486.62
O0822,416.62
O0823,653.64
O0824,414.84
O0825,710.48
O0826,491.48
O0827,528.37
O0828,412.15
O0829,393.17
O0830,419.17
O0831,745.13
O0832,471.92
O0833,739.11
O0834,684.82
O0835,659.59
O0836,633.02
O0837,753.50
O0838,669.14
O0839,567.61
O0840,656.19
O0841,4464.26
O0842,3047.31
O0843,2355.29
O0844,2146.41
O0845,3379.20
O0846,2791.80
O0847,2799.55
O0848,2111.78
O0849,4019.79
O0850,2929.86
O0851,653.49
O0852,935.67
O0853,1081.99
O0854,841.92
O0855,1091.20
O0856,692.47
O0857,643.31
O0858,900.29
O0859,1078.84
O0860,1021.81
O0861,346.81
O0862,427.61
O0863,517.98
O0864,415.34
O0865,569.57
O0866,380.51
O0867,358.01
O0868,559.60
O0869,484.45
O0870,513.41
O0871,550.61
O0872,564.35
O0873,650.68
O0874,836.11
O0875,738.29
O0876,952.96
O0877,694.23
O0878,809.18
O0879,799.20
O0880,948.80
O0881,3499.16
O0882,2050.36
O0883,3058.56
O0884,3042.93
O0885,2670.17
O0886,4117.65
O0887,3030.12
O0888,3675.48
O0889,3388.37
O0890,4230.98
O0891,814.24
O0892,701.09
O0893,1069.28
O0894,941.57
O0895,1165.56
O0896,834.59
O0897,562.01
O0898,758.12
O0899,887.09
O0900,1104.19
O0901,501.17
O0902,387.80
O0903,452.22
O0904,552.30
O0905,323.86
O0906,623.40
O0907,551.49
O0908,408.72
O0909,414.54
O0910,535.67
O0911,726.57
O0912,662.64
O0913,759.62
O0914,476.68
O0915,805.06
O0916,602.43
O0917,805.94
O0918,708.46
O0919,800.12
O0920,832.88
O0921,2669.77
O0922,4516.79
O0923,3571.88
O0924,2739.74
O0925,3678.89
O0926,3626.12
O0927,2546.15
O0928,3595.81
O0929,3582.06
O0930,2919.86
O0931,1167.42
O0932,805.26
O0933,918.46
O0934,975.62
O0935,1078.98
O0936,780.03
O0937,864.43
O0938,831.87
O0939,985.69
O0940,1221.75
O0941,536.07
O0942,351.17
O0943,447.28
O0944,330.63
O0945,397.79
O0946,577.71
O0947,454.89
O0948,587.24
O0949,402.88
O0950,317.23
O0951,576.02
O0952,497.87
O0953,594.03
O0954,560.69
O0955,587.79
O0956,762.22
O0957,730.33
O0958,551.39
O0959,664.06
O0960,501.14
