order_id,material_cost
O0594,3955.14
O0595,5074.68
O0596,5366.83
O0597,4563.44
O0598,4293.26
O0599,5252.21
O0600,5331.96
O0601,4798.07
O0602,4225.90
O0603,7019.87
O0604,5594.50
O0605,4389.92
O0606,4448.43
O0607,7375.40
O0608,4535.48
O0609,5767.55
O0610,5777.53
O0611,4898.72
O0612,5433.09
O0613,5152.45
O0614,4152.58
O0615,5848.42
O0616,6461.44
O0617,6600.08
O0618,5757.43
O0619,4025.37
O0620,4136.72
O0621,2748.50
O0622,3426.02
O0623,2906.60
O0624,3565.44
O0625,2253.41
O0626,3896.60
O0627,2845.93
O0628,3044.53
O0629,2548.97
O0630,3506.87
O0631,3465.37
O0632,4609.46
O0633,5215.77
O0634,3034.05
O0635,3912.15
O0636,3123.50
O0637,2835.71
O0638,5458.21
O0639,4290.56
O0640,3609.00
O0641,5135.86
O0642,5005.15
O0643,6553.83
O0644,7670.93
O0645,7467.48
O0646,8048.09
O0647,6731.14
O0648,8471.52
O0649,7114.69
O0650,5938.59
O0651,6547.74
O0652,6053.66
O0653,6592.73
O0654,6330.37
O0655,5662.74
O0656,6119.74
O0657,5303.38
O0658,5756.51
O0659,4108.21
O0660,5635.31
O0661,2734.01
O0662,2429.17
O0663,3982.87
O0664,2123.34
O0665,3369.68
O0666,3068.87
O0667,2658.77
O0668,3203.27
O0669,3537.40
O0670,2581.43
O0671,4713.03
O0672,4693.39
O0673,3296.36
O0674,3338.22
O0675,3957.16
O0676,3421.08
O0677,5055.80
O0678,3998.89
O0679,4903.47
O0680,4898.88
O0681,4844.23
O0682,6853.36
O0683,4623.78
O0684,7657.66
O0685,6733.93
O0686,5211.29
O0687,5869.52
O0688,5103.03
O0689,7506.03
O0690,4695.86
O0691,7147.92
O0692,6977.20
O0693,5146.04
O0694,5089.78
O0695,4201.62
O0696,4306.74
O0697,5453.69
O0698,6699.51
O0699,6575.36
O0700,6708.05
O0701,2847.28
O0702,3034.80
O0703,3605.02
O0704,3767.83
O0705,2401.60
O0706,3848.70
O0707,3193.43
O0708,3568.70
O0709,3346.47
O0710,2829.15
O0711,3413.57
O0712,3612.09
O0713,4238.18
O0714,3647.74
O0715,3157.75
O0716,5173.39
O0717,3030.18
O0718,5565.12
O0719,3087.98
O0720,5066.49
O0721,5719.41
O0722,7847.08
O0723,4920.01
O0724,7568.43
O0725,6444.73
O0726,6531.26
O0727,4602.02
O0728,7481.92
O0729,7442.62
O0730,6566.27
O0731,5861.31
O0732,6483.58
O0733,6169.03
O0734,5946.26
O0735,4749.82
O0736,4571.56
O0737,5833.33
O0738,6405.30
O0739,5871.36
O0740,4304.37
O0741,2908.01
O0742,2617.88
O0743,3566.41
O0744,4029.80
O0745,3294.72
O0746,2477.46
O0747,2893.17
O0748,3525.89
O0749,2820.19
O0750,3046.27
O0751,5209.98
O0752,3388.87
O0753,3869.72
O0754,4161.42
O0755,4142.80
O0756,4108.37
O0757,3854.55
O0758,4443.45
O0759,5258.80
O0760,4063.97
O0761,7179.78
O0762,7394.94
O0763,5767.88
O0764,4765.65
O0765,6872.19
O0766,7320.57
O0767,8393.44
O0768,5806.05
O0769,5205.24
O0770,6951.77
O0771,6340.67
O0772,4911.66
O0773,4147.60
O0774,5165.51
O0775,5196.86
O0776,5922.21
O0777,5262.83
O0778,5288.45
O0779,4121.46
O0780,5638.81
O0781,3214.06
O0782,2809.79
O0783,2725.11
O0784,3108.87
O0785,3049.64
O0786,3518.79
O0787,3321.41
O0788,3483.00
O0789,3926.43
O0790,3981.24
O0791,4609.05
O0792,4421.75
O0793,5584.42
O0794,4812.79
O0795,5209.22
O0796,3221.78
O0797,3227.33
O0798,3668.00
O0799,4990.98
O0800,3232.45
O0801,7775.75
O0802,6886.99
O0803,8667.92
O0804,5399.32
O0805,4599.19
O0806,5188.89
O0807,7679.84
O0808,7140.82
O0809,7333.03
O0810,7555.49
O0811,4321.95
O0812,4912.47
O0813,5441.69
O0814,6514.50
O0815,6162.69
O0816,3971.60
O0817,6416.12
O0818,5389.96
O0819,5185.34
O0820,5722.82
O0821,2815.71
O0822,2988.72
O0823,4142.91
O0824,2684.62
O0825,3896.77
O0826,3711.82
O0827,4211.88
O0828,3038.05
O0829,2407.60
O0830,2742.79
O0831,5390.49
O0832,2905.10
O0833,4107.61
O0834,5071.11
O0835,5157.98
O0836,4657.58
O0837,5701.47
O0838,4861.97
O0839,3205.14
O0840,4730.26
O0841,8634.81
O0842,6065.75
O0843,5877.97
O0844,4619.36
O0845,9080.51
O0846,6027.33
O0847,7200.04
O0848,4685.44
O0849,7571.12
O0850,7248.20
O0851,4512.68
O0852,6059.54
O0853,7790.84
O0854,5085.08
O0855,7156.27
O0856,5778.84
O0857,5400.98
O0858,6732.29
O0859,6695.67
O0860,7318.09
O0861,2800.78
O0862,3203.58
O0863,3937.16
O0864,2750.74
O0865,3847.08
O0866,2606.42
O0867,2531.34
O0868,4322.29
O0869,3127.78
O0870,3581.26
O0871,4018.66
O0872,3946.65
O0873,5226.51
O0874,5187.86
O0875,4784.48
O0876,5842.55
O0877,5436.78
O0878,5011.72
O0879,5369.75
O0880,5598.95
O0881,8886.35
O0882,4978.18
O0883,7439.32
O0884,7838.07
O0885,5994.10
O0886,7682.45
O0887,6584.34
O0888,6926.30
O0889,8384.26
O0890,8524.14
O0891,5338.97
O0892,4528.04
O0893,6026.63
O0894,6026.07
O0895,6687.39
O0896,5348.27
O0897,4562.85
O0898,5832.59
O0899,5775.58
O0900,7178.46
O0901,2913.74
O0902,2988.06
O0903,3468.23
O0904,4285.24
O0905,2386.83
O0906,4066.15
O0907,3620.80
O0908,2851.45
O0909,3206.45
O0910,3660.31
O0911,5661.53
O0912,4992.60
O0913,4734.66
O0914,3282.76
O0915,5076.02
O0916,4186.63
O0917,5840.38
O0918,4478.30
O0919,4351.23
O0920,5308.51
O0921,5899.33
O0922,8837.75
O0923,7770.77
O0924,5398.01
O0925,8487.47
O0926,7628.43
O0927,5579.89
O0928,7492.45
O0929,7267.82
O0930,6964.97
O0931,7439.81
O0932,5062.00
O0933,7219.14
O0934,7446.78
O0935,6527.18
O0936,5433.95
O0937,6033.49
O0938,6243.96
O0939,7040.31
O0940,6808.56
O0941,3258.52
O0942,2801.79
O0943,3457.66
O0944,2461.35
O0945,2819.56
O0946,3794.84
O0947,3433.15
O0948,3608.94
O0949,3189.64
O0950,2445.45
O0951,3846.50
O0952,3708.14
O0953,4049.84
O0954,4437.40
O0955,4641.79
O0956,5595.77
O0957,5614.21
O0958,3506.97
O0959,4240.67
O0960,3475.50
